"Listing Number","Property Type","Short Address","List Price","Parcel ID","Sold Date","Sold Price","Sold Price/SqFt","SqFt - Living","SqFt - Total","Subdivision","Waterfront","Days On Market"
"RX-10481842","Residential","3100 S Ocean Boulevard N 105","850000.00","50434426090011050","2019-05-06","725000.00","248.88","2913.00","3191.00","PALM BEACH HAMPTON CONDO DECL FILED 4-26-85 IN","Yes","0"
"RX-10521449","Residential","3360 S Ocean Boulevard 6aii","575000.00","50434435190020061","2019-06-07","550000.00","316.09","1740.00","1740.00","THIRTY-THREE SIXTY CONDO","Yes","39"
"RX-10495311","Residential","2275 S Ocean Boulevard 103s","975000.00","50434414010021030","2019-06-07","925000.00","573.11","1614.00","1614.00","REEF CONDO","Yes","122"
"RX-10521367","Residential","2774 S Ocean Boulevard 507","225000.00","50434423110005070","2019-06-07","225000.00","267.53","841.00","950.00","AMBASSADOR SOUTH DEV CORP","Yes","20"
"RX-10516008","Residential","2295 S Ocean Boulevard 924","685000.00","50434414040009240","2019-06-10","662500.00","424.95","1559.00","1669.00","TWENTY TWO NINETY FIVE SOUTH OCEAN BLVD","Yes","36"
"RX-10509864","Residential","2275 S Ocean Boulevard 206 A","1395000.00","50434414010032060","2019-06-10","1287500.00","694.81","1853.00","1853.00","REEF CONDO","Yes","66"
"RX-10522036","Residential","2500 S Ocean Boulevard 2 B 5","3200000.00","50434423070020025","2019-06-10","2500000.00","839.48","2978.00","4000.00","TWENTY FIVE HUNDRED SOUTH OCEAN BLVD CONDO","Yes","0"
"RX-10467921","Residential","2760 S Ocean Boulevard 513","179900.00","50434423160005130","2019-06-05","160000.00","188.23","850.00","850.00","REGENCY OF PALM BEACH INC","Yes","239"
"RX-10422690","Residential","2720 S Ocean Boulevard 317","140000.00","50434423170003170","2019-06-12","120000.00","128.75","932.00","932.00","TWENTY SEVEN HUNDRED S OCEAN EDGEWATER H","Yes","384"
"RX-10504543","Residential","2275 S Ocean Boulevard 307/308 Cs1","2975000.00","50434414010023070","2019-06-12","2800000.00","593.22","4720.00","3711.00","REEF CONDO","Yes","69"
"RX-10498843","Residential","2774 S Ocean Boulevard 810","499000.00","50434423110008100","2019-05-31","490000.00","378.67","1294.00","1450.00","AMBASSADOR SOUTH DEV CORP","Yes","26"
"RX-10536316","Residential","2275 S Ocean Boulevard 308a","800000.00","50434414010033080","2019-06-14","795000.00","492.56","1614.00","1614.00","REEF COND","Yes","1"
"RX-10511961","Residential","2840 S Ocean Boulevard 209","141000.00","50434423150002090","2019-06-17","100000.00","135.13","740.00","700.00","Royal Saxon","Yes","65"
"RX-10526611","Residential","2545 S Ocean Boulevard 406","249900.00","50434423020004060","2019-06-17","240000.00","261.43","918.00","918.00","PALM BEACH WHITEHOUSE CONDO","Yes","10"
"RX-10503024","Residential","2295 S Ocean Boulevard 721","429000.00","50434414040007210","2019-06-14","375000.00","361.27","1038.00","1150.00","Harbour House","Yes","58"
"RX-10494552","Residential","3475 S Ocean Boulevard Ph 7","849500.00","50434435020008070","2019-06-17","768000.00","240.00","3200.00","3270.00","LA BONNE VIE CONDO","Yes","96"
"RX-10486565","Residential","3475 S Ocean Boulevard 412","210000.00","50434435020004120","2019-04-19","195000.00","218.85","891.00","891.00","LA BONNE VIE CONDO","Yes","81"
"RX-10491251","Residential","2155 Ibis Isle Road 9","849000.00","50434415290000090","2019-06-26","800000.00","410.46","1949.00","1949.00","TOWER VALLENCAY OF IBIS ISLE CONDO","Yes","127"
"RX-10410525","Residential","2773 S Ocean Boulevard 406","299000.00","50434423040004060","2019-06-03","235000.00","169.18","1389.00","1389.00","CARLYLE HOUSE CONDO","Yes","373"
"RX-10478891","Residential","3390 S Ocean Boulevard 402","685000.00","50434435240004020","2019-06-25","665000.00","387.98","1714.00","2214.00","Emeraude","Yes","209"
"RX-10502269","Residential","2275 S Ocean Boulevard 304n","1148500.00","50434414010013040","2019-06-28","870000.00","461.78","1884.00","1884.00","REEF CONDO","Yes","117"
"RX-10497483","Residential","3400 S Ocean Boulevard 1 E I","600000.00","50434435130010015","2019-06-28","600000.00","344.82","1740.00","2000.00","ATRIUMS OF PALM BEACH CONDO","Yes","128"
"RX-10414636","Residential","3450 S Ocean Boulevard 6180","300000.00","50434435030006180","2019-07-03","253000.00","195.66","1293.00","1293.00","Patrician of Palm Beach Condo","Yes","428"
"RX-10502953","Residential","2860 S Ocean Boulevard Apt 103","189000.00","50434423030001030","2019-07-08","177500.00","175.39","1012.00","1012.00","LA PALMA CONDOMINIUM","Yes","91"
"RX-10512806","Residential","3400 S Ocean Boulevard 4gii","650000.00","50434435130020047","2019-07-12","610000.00","350.57","1740.00","2000.00","ATRIUMS OF PALM BEACH CONDO","Yes","103"
"RX-10501563","Residential","3400 S Ocean Boulevard 2ai","545000.00","50434435130010021","2019-07-15","535000.00","307.47","1740.00","2000.00","ATRIUMS OF PALM BEACH CONDO","Yes","119"
"RX-10530109","Residential","3100 S Ocean Boulevard 302n","899000.00","50434426090013020","2019-07-03","899000.00","400.62","2244.00","2566.00","PALM BEACH HAMPTON CONDO","Yes","4"
"RX-10477506","Residential","3100 S Ocean Boulevard 201 N","599000.00","50434426090012010","2019-07-15","599000.00","228.80","2618.00","2979.00","PALM BEACH HAMPTON CONDO","Yes","221"
